id,stratum,pmcid,doi,source_doi,license_pool,has_structure,source_url,ir_bands_preview,auditor,source_found,bands_match,truncation_artifact,pairing_ok,completeness,name_structure_ok,confidence,notes
WXDDUJBSQBJJQQ-UHFFFAOYSA-N,C,PMC11277446,,PMC:11277446,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11277446/,3368;3032;2972;1121;821;703;449.69;448.92,Rudra,Y,subset_ok,N,Y,full,Y,4,"449.69 is LC/MS, 448.92 is MW"
XAWLHKWSQOJJHD-UHFFFAOYSA-N,C,PMC11277446,,PMC:11277446,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11277446/,3376;3037;2943;1225;1135;823;661;466.41;...,Rudra,Y,subset_ok,N,Y,full,Y,4,"466.41 is LC/MS, 465.44 is MW"
XECKXYUOMIDELU-IDUWFGFVSA-N,C,PMC8839324,,PMC:8839324,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8839324/,3247.01;3263.4;1676.06;1591.2;1572.87,Rudra,Y,exact,N,Y,full,Y,4,
XKQKBEHMKXABHP-UHFFFAOYSA-N,C,PMC10974089,,PMC:10974089,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10974089/,2920;2851;1646;1530;1465;1404;1190;1134;...,Rudra,Y,exact,N,Y,major_missing,Y,4,Missing 672 and 470
adbf62bfca0f70a93366,C,PMC11521004,,PMC:11521004,non_commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11521004/,2921;2831;2741;1703;1602;1483;1385;1005;...,,,,,,,,,NOT SCORED — band list absent from HF publish (non-commercial pool). Needs rows from data/irexp_rebuild_20260910/ before any field can be scored.
b318340488a8963e19cf,C,PMC8949195,,PMC:8949195,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8949195/,737.34;812;1006;1072;1177;1251;1288;1325;...,Rudra,Y,exact,N,unsure,full,NA,4,
eacb7d55b760d981f846,C,PMC8125312,,PMC:8125312,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8125312/,3346.6;2959.9;2927;1715.5;1602.3;1575.6;1530.3;1497.4;...,Rudra,Y,exact,N,unsure,full,NA,4,
f742fb95a56710011218,C,PMC10609173,,PMC:10609173,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10609173/,3669;3200;2964;2869;1697;1488;1468;1444;...,Rudra,Y,subset_ok,N,unsure,full,NA,4,"3669–3200; 2964–2869 were a range, converted to 4 values"
BKVFDKBJDMKAQB-UHFFFAOYSA-N,D,PMC11203957,,PMC:11203957,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11203957/,2974;1721;1691;1666;1647,Rudra,Y,exact,N,Y,full,Y,4,
DKUIFAIOJWMZDO-UHFFFAOYSA-N,D,PMC10974089,,PMC:10974089,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10974089/,2921;2852;1646;1529;1402;1191;1134;1075;...,Rudra,Y,exact,N,Y,full,Y,4,
